totalprice,xiaoqu,hux,mianji,chaoxiang,zhaungxiu,,dizhi,following,alreadylooked,fabu
770万,星洲花园花柏美舍  , 4室2厅 , 171.98平米 , 南 , 精装 ,,  文一西路,27人关注 , 共1次带看 , 9个月以前发布
430万,天湖公寓  , 3室2厅 , 125.1平米 , 南 北 , 简装 ,,  文一西路,50人关注 , 共1次带看 , 8个月以前发布
480万,曙光新村  , 3室1厅 , 67.68平米 , 南 , 简装 ,,  黄龙,13人关注 , 共4次带看 , 4个月以前发布
295万,紫金公寓  , 3室1厅 , 79.97平米 , 南 , 简装 ,,  文三西路,33人关注 , 共11次带看 , 1个月以前发布
160万,华元天鹅堡  , 1室1厅 , 61平米 , 东南 , 精装 ,,  文三西路,42人关注 , 共1次带看 , 一年前发布
355万,三墩颐景园  , 2室2厅 , 103.95平米 , 南 , 简装 ,,  三墩,41人关注 , 共6次带看 , 一年前发布
332万,紫金港湾  , 2室1厅 , 95.67平米 , 南 , 毛坯 ,,  三墩,40人关注 , 共0次带看 , 9个月以前发布
550万,朗郡庭园  , 4室2厅 , 183.82平米 , 南 , 简装 ,,  转塘,15人关注 , 共2次带看 , 5个月以前发布
320万,黄姑山路22号  , 3室1厅 , 92.86平米 , 东南 , 简装 ,,  九莲,22人关注 , 共4次带看 , 5个月以前发布
178万,都市阳光乐苑  , 2室1厅 , 61.92平米 , 南 , 毛坯,,  良渚,62人关注 , 共6次带看 , 5个月以前发布
540万,之江九里  , 3室1厅 , 137.13平米 , 南 , 毛坯 ,,  之江,8人关注 , 共4次带看 , 5个月以前发布
315万,中海定山府  , 3室2厅 , 85.46平米 , 南 北 , 毛坯 ,,  转塘,3人关注 , 共1次带看 , 4个月以前发布
950万,坤和西溪里  , 5室2厅 , 186.08平米 , 南 , 简装 ,,  西溪,12人关注 , 共3次带看 , 4个月以前发布
325万,绿城之江1号  , 2室1厅 , 79.78平米 , 南 , 毛坯 ,,  转塘,16人关注 , 共2次带看 , 3个月以前发布
270万,天虹公寓  , 2室2厅 , 87.75平米 , 南 , 毛坯 ,,  申花,15人关注 , 共8次带看 , 3个月以前发布
300万,翠苑五区  , 2室1厅 , 66.47平米 , 南 北 , 精装 ,,  翠苑,10人关注 , 共14次带看 , 3个月以前发布
350万,中兴公寓  , 3室2厅 , 75.05平米 , 南 北 , 精装 ,,  文三西路,15人关注 , 共2次带看 , 3个月以前发布
460万,西溪蝶园一期  , 3室2厅 , 86.18平米 , 南 , 简装 ,,  西溪,8人关注 , 共4次带看 , 3个月以前发布
310万,云溪香山  , 2室1厅 , 95.3平米 , 南 北 , 精装 ,,  转塘,15人关注 , 共3次带看 , 2个月以前发布
245万,庙前街  , 3室1厅 , 83平米 , 南 北 , 其他,,  三墩,1人关注 , 共1次带看 , 1个月以前发布
430万,石灰桥新村  , 3室1厅 , 69.91平米 , 南 北 , 其他 ,,  文教,0人关注 , 共1次带看 , 27天以前发布
580万,协安紫郡  , 3室2厅 , 139.9平米 , 南 北 , 精装 ,,  三墩,4人关注 , 共2次带看 , 26天以前发布
140万,云溪印象  , 1室1厅 , 53.15平米 , 南 , 精装 ,,  转塘,0人关注 , 共0次带看 , 29天以前发布
275万,康乐香港城  , 2室2厅 , 74.33平米 , 南 , 精装 ,,  文三西路,16人关注 , 共4次带看 , 10个月以前发布
650万,世贸丽晶城  , 2室1厅 , 82.13平米 , 南 , 精装 ,,  九莲,32人关注 , 共0次带看 , 9个月以前发布
305万,紫金公寓  , 2室2厅 , 80.15平米 , 南 北 , 精装 ,,  文三西路,24人关注 , 共4次带看 , 7个月以前发布
550万,山水人家潇湘居  , 3室2厅 , 131.1平米 , 南 , 简装 ,,  文三西路,9人关注 , 共7次带看 , 6个月以前发布
255万,九莲新村  , 2室1厅 , 59.45平米 , 南 , 简装 ,,  九莲,17人关注 , 共3次带看 , 5个月以前发布
425万,华苑公寓  , 2室1厅 , 70.8平米 , 南 , 简装 ,,  文一西路,9人关注 , 共4次带看 , 5个月以前发布
255万,西荡苑桃苑  , 2室1厅 , 53.83平米 , 南 北 , 精装 ,,  文三西路,13人关注 , 共4次带看 , 3个月以前发布
315万,朗郡庭园  , 2室2厅 , 89平米 , 南 , 精装 ,,  转塘,22人关注 , 共4次带看 , 3个月以前发布
470万,云溪香山  , 4室2厅 , 173.88平米 , 南 , 毛坯 ,,  转塘,33人关注 , 共0次带看 , 一年前发布
460万,新金都城市花园  , 2室2厅 , 89.08平米 , 南 , 简装 ,,  文一西路,23人关注 , 共1次带看 , 9个月以前发布
710万,坤和和家园  , 4室2厅 , 197平米 , 南 , 毛坯 ,,  西溪,114人关注 , 共0次带看 , 一年前发布
380万,亚洲城花园  , 3室1厅 , 100.74平米 , 南 北 , 简装 ,,  古荡,78人关注 , 共0次带看 , 一年前发布
350万,九莲新村  , 3室2厅 , 95.62平米 , 南 北 , 毛坯 ,,  九莲,83人关注 , 共0次带看 , 一年前发布
390万,富丽苑  , 3室2厅 , 108.73平米 , 南 , 精装 ,,  嘉绿,93人关注 , 共0次带看 , 一年前发布
405万,府新花园东区  , 3室1厅 , 86.59平米 , 南 , 精装 ,,  文三西路,51人关注 , 共0次带看 , 一年前发布
290万,亚洲城花园  , 2室1厅 , 63.29平米 , 南 , 简装 ,,  古荡,23人关注 , 共0次带看 , 一年前发布
1300万,桂花城  , 5室3厅 , 233.44平米 , 南 北 , 精装 ,,  文一西路,24人关注 , 共3次带看 , 一年前发布
843万,朗郡庭园  , 5室2厅 , 278.11平米 , 南 , 毛坯 ,,  转塘,6人关注 , 共0次带看 , 一年前发布
349万,天苑花园  , 3室1厅 , 89.88平米 , 南 西 , 精装 ,,  翠苑,64人关注 , 共0次带看 , 11个月以前发布
635万,西溪晴雪  , 4室2厅 , 178.61平米 , 南 , 简装 ,,  西溪,30人关注 , 共1次带看 , 10个月以前发布
780万,颐景园  , 5室2厅 , 207.16平米 , 南 , 精装 ,,  文三西路,49人关注 , 共0次带看 , 9个月以前发布
455万,雅仕苑  , 3室1厅 , 92.35平米 , 南 , 精装 ,,  文一西路,37人关注 , 共8次带看 , 9个月以前发布
450万,新金都城市花园  , 2室2厅 , 88.13平米 , 南 北 , 简装 ,,  文一西路,23人关注 , 共0次带看 , 8个月以前发布
500万,中海西溪华府  , 3室1厅 , 88.8平米 , 南 , 精装 ,,  西溪,33人关注 , 共0次带看 , 7个月以前发布
290万,中海定山府  , 3室1厅 , 88.73平米 , 南 , 毛坯 ,,  转塘,48人关注 , 共0次带看 , 7个月以前发布
1300万,广宇西城年华  , 5室2厅 , 230平米 , 南 , 精装 ,,  申花,8人关注 , 共0次带看 , 5个月以前发布
2580万,西溪诚园正信苑  , 5室2厅 , 283.71平米 , 南 , 精装 ,,  西溪,30人关注 , 共2次带看 , 4个月以前发布
510万,政苑小区  , 3室2厅 , 116.28平米 , 南 北 , 精装 ,,  申花,23人关注 , 共10次带看 , 4个月以前发布
1420万,坤和和家园  , 6室3厅 , 285.53平米 , 南 北 , 精装 ,,  西溪,15人关注 , 共1次带看 , 4个月以前发布
540万,中海定山府  , 4室2厅 , 178.31平米 , 南 , 精装 ,,  转塘,11人关注 , 共1次带看 , 4个月以前发布
550万,山水人家香溪地  , 3室2厅 , 119.2平米 , 南 , 精装 ,,  文三西路,11人关注 , 共7次带看 , 2个月以前发布
670万,朗郡庭园  , 4室2厅 , 209.23平米 , 南 , 其他 ,,  转塘,6人关注 , 共1次带看 , 2个月以前发布
900万,之江九里  , 4室2厅 , 219.18平米 , 南 , 其他 ,,  之江,3人关注 , 共2次带看 , 2个月以前发布
780万,坤和和家园  , 3室2厅 , 157.36平米 , 南 北 , 精装 ,,  西溪,16人关注 , 共2次带看 , 1个月以前发布
90万,云溪印象  , 1室0厅 , 42.83平米 , 南 , 其他 ,,  转塘,4人关注 , 共1次带看 , 23天以前发布
85万,学苑春晓  , 1室0厅 , 37.33平米 , 北 , 简装 ,,  翠苑,91人关注 , 共0次带看 , 8个月以前发布
550万,马塍路35号  , 3室1厅 , 67.2平米 , 南 北 , 简装 ,,  学军,6人关注 , 共4次带看 , 5个月以前发布
510万,德雅花园  , 4室2厅 , 111.52平米 , 南 北 , 简装 ,,  文教,8人关注 , 共0次带看 , 一年前发布
690万,政苑小区  , 3室2厅 , 172.58平米 , 南 , 简装 ,,  申花,18人关注 , 共3次带看 , 一年前发布
240万,枫华府第  , 1室1厅 , 46.03平米 , 南 , 精装 ,,  翠苑,57人关注 , 共8次带看 , 一年前发布
230万,世纪新城东区  , 1室1厅 , 45.22平米 , 东 , 简装 ,,  嘉绿,23人关注 , 共10次带看 , 9个月以前发布
490万,湖畔花园吐翠苑  , 2室2厅 , 105.18平米 , 南 , 简装 ,,  文一西路,18人关注 , 共0次带看 , 9个月以前发布
530万,香樟公寓  , 3室2厅 , 98.1平米 , 南 北 , 简装 ,,  文三西路,16人关注 , 共0次带看 , 8个月以前发布
1000万,黄龙雅苑  , 3室2厅 , 133.95平米 , 南 , 简装 ,,  黄龙,17人关注 , 共2次带看 , 8个月以前发布
430万,翠苑五区  , 3室1厅 , 96.14平米 , 西南 , 简装 ,,  翠苑,10人关注 , 共1次带看 , 8个月以前发布
375万,金都花园  , 3室2厅 , 92.64平米 , 南 北 , 其他 ,,  文三西路,8人关注 , 共2次带看 , 7个月以前发布
515万,嘉绿景苑南园  , 3室2厅 , 128.73平米 , 南 , 简装 ,,  文三西路,21人关注 , 共8次带看 , 6个月以前发布
285万,翠苑四区  , 3室1厅 , 72.53平米 , 南 , 毛坯 ,,  翠苑,18人关注 , 共1次带看 , 5个月以前发布
370万,众安白马山庄  , 3室2厅 , 139.5平米 , 南 北 , 毛坯 ,,  小和山,19人关注 , 共5次带看 , 5个月以前发布
598万,景城花园  , 3室2厅 , 118.95平米 , 南 , 精装 ,,  翠苑,13人关注 , 共3次带看 , 5个月以前发布
580万,山水人家诗家谷  , 3室2厅 , 127.81平米 , 南 , 简装 ,,  文三西路,5人关注 , 共5次带看 , 4个月以前发布
400万,赞成岭上花苑  , 3室2厅 , 149平米 , 南 , 毛坯 ,,  转塘,0人关注 , 共2次带看 , 4个月以前发布
590万,花园北村  , 3室2厅 , 108平米 , 南 , 简装 ,,  文教,20人关注 , 共2次带看 , 3个月以前发布
698万,春天花园  , 4室2厅 , 142.97平米 , 南 北 , 精装 ,,  文一西路,5人关注 , 共5次带看 , 3个月以前发布
450万,求是村  , 2室1厅 , 68.97平米 , 南 北 , 其他 ,,  黄龙,2人关注 , 共3次带看 , 3个月以前发布
1000万,枫华府第  , 3室2厅 , 155.2平米 , 南 北 , 毛坯 ,,  翠苑,6人关注 , 共0次带看 , 2个月以前发布
280万,水木清华  , 4室2厅 , 139.7平米 , 南 北 , 精装 ,,  小和山,21人关注 , 共1次带看 , 1个月以前发布
600万,华门自由21世纪  , 3室2厅 , 149.6平米 , 西北 , 简装 ,,  文教,1人关注 , 共3次带看 , 1个月以前发布
376万,黄姑山庄  , 3室1厅 , 94.02平米 , 南 , 毛坯 ,,  九莲,2人关注 , 共6次带看 , 1个月以前发布
185万,翠苑一区  , 1室1厅 , 43.69平米 , 南 西 , 简装 ,,  翠苑,6人关注 , 共6次带看 , 1个月以前发布
360万,白荡海人家  , 2室1厅 , 65.31平米 , 南 , 精装 ,,  文教,36人关注 , 共0次带看 , 9个月以前发布
300万,留下西苑  , 2室2厅 , 85平米 , 南 北 , 简装 ,,  西溪,13人关注 , 共1次带看 , 8个月以前发布
265万,翠苑三区  , 2室1厅 , 60.92平米 , 南 , 精装 ,,  翠苑,3人关注 , 共1次带看 , 7个月以前发布
265万,莫干山路599号  , 1室1厅 , 41.11平米 , 南 , 简装 ,,  文教,1人关注 , 共1次带看 , 5个月以前发布
305万,文一路60号  , 2室1厅 , 50.11平米 , 南 北 , 简装,,  文教,8人关注 , 共1次带看 , 5个月以前发布
258万,金海公寓  , 3室1厅 , 52.84平米 , 南 , 精装 ,,  文三西路,13人关注 , 共0次带看 , 4个月以前发布
368万,师苑新村  , 2室1厅 , 58.21平米 , 南 , 简装 ,,  文教,21人关注 , 共21次带看 , 4个月以前发布
245万,翠苑四区  , 2室1厅 , 55.03平米 , 南 , 简装 ,,  翠苑,7人关注 , 共4次带看 , 4个月以前发布
163万,翠苑三区  , 1室1厅 , 41.28平米 , 南 , 简装 ,,  翠苑,18人关注 , 共2次带看 , 3个月以前发布
270万,康乐新村  , 2室2厅 , 64.83平米 , 南 , 简装 ,,  文三西路,6人关注 , 共2次带看 , 3个月以前发布
310万,曙光新村  , 2室1厅 , 42.29平米 , 南 北 , 精装 ,,  黄龙,25人关注 , 共0次带看 , 3个月以前发布
400万,求是村  , 3室1厅 , 68.97平米 , 西 北 , 简装 ,,  黄龙,11人关注 , 共2次带看 , 2个月以前发布
260万,翠苑五区  , 2室1厅 , 65.01平米 , 东南 , 简装 ,,  翠苑,13人关注 , 共1次带看 , 1个月以前发布
399万,今日嘉园  , 1室1厅 , 63.41平米 , 南 , 精装 ,,  文教,3人关注 , 共4次带看 , 1个月以前发布
566万,曙光新村  , 3室1厅 , 75.55平米 , 南 , 其他 ,,  黄龙,0人关注 , 共0次带看 , 1个月以前发布
300万,石灰桥新村  , 2室1厅 , 45.78平米 , 南 , 简装 ,,  文教,1人关注 , 共1次带看 , 24天以前发布
1000万,城市心境  , 6室2厅 , 262.13平米 , 南 北 , 精装 ,,  文三西路,12人关注 , 共0次带看 , 一年前发布
500万,中海定山府  , 4室2厅 , 162.52平米 , 南 , 简装 ,,  转塘,11人关注 , 共0次带看 , 一年前发布
305万,黄龙公寓  , 2室1厅 , 77.41平米 , 南 , 简装 ,,  古荡,27人关注 , 共7次带看 , 9个月以前发布
580万,西溪诚园致诚苑  , 2室1厅 , 88平米 , 南 北 , 精装 ,,  西溪,24人关注 , 共9次带看 , 7个月以前发布
445万,中海定山府  , 6室4厅 , 136.23平米 , 南 北 , 精装 ,,  转塘,3人关注 , 共0次带看 , 6个月以前发布
225万,翠苑四区南园  , 2室1厅 , 55平米 , 南 , 简装 ,,  翠苑,26人关注 , 共10次带看 , 6个月以前发布
375万,坤和和家园  , 2室2厅 , 87.18平米 , 南 , 简装 ,,  西溪,32人关注 , 共6次带看 , 5个月以前发布
390万,富越香溪  , 2室1厅 , 88.74平米 , 南 , 精装 ,,  西溪,16人关注 , 共6次带看 , 5个月以前发布
580万,西湖花园南苑  , 4室2厅 , 158.74平米 , 南 , 精装,,  之江,1人关注 , 共0次带看 , 4个月以前发布
430万,西溪蝶园一期  , 3室2厅 , 86.18平米 , 南 , 精装 ,,  西溪,46人关注 , 共17次带看 , 1个月以前发布
500万,中海定山府  , 4室2厅 , 162.52平米 , 东 南 北 , 精装 ,,  转塘,2人关注 , 共0次带看 , 1个月以前发布
480万,嘉绿青苑  , 3室2厅 , 102平米 , 南 , 其他 ,,  嘉绿,10人关注 , 共8次带看 , 1个月以前发布
315万,嘉华公寓  , 3室2厅 , 108平米 , 南 , 简装 ,,  三墩,35人关注 , 共0次带看 , 11个月以前发布
446万,华门自由21世纪  , 2室2厅 , 104.5平米 , 南 , 简装 ,,  文教,2人关注 , 共2次带看 , 10个月以前发布
540万,里东山弄  , 3室2厅 , 84.2平米 , 南 北 , 简装 ,,  黄龙,3人关注 , 共0次带看 , 9个月以前发布
308万,庆丰新村  , 2室1厅 , 55.84平米 , 南 , 简装 ,,  黄龙,8人关注 , 共1次带看 , 9个月以前发布
870万,耀江文鼎苑  , 3室2厅 , 129.52平米 , 西南 , 简装 ,,  申花,17人关注 , 共8次带看 , 7个月以前发布
350万,金都花园  , 3室1厅 , 95.06平米 , 南 , 简装 ,,  文三西路,10人关注 , 共1次带看 , 7个月以前发布
592万,胜利新村  , 3室2厅 , 100.36平米 , 南 北 , 简装 ,,  黄龙,10人关注 , 共0次带看 , 7个月以前发布
365万,里东山弄  , 2室1厅 , 53.79平米 , 南 , 简装 ,,  黄龙,26人关注 , 共3次带看 , 7个月以前发布
360万,泊林漫谷  , 4室1厅 , 148.82平米 , 南 , 精装 ,,  小和山,6人关注 , 共1次带看 , 6个月以前发布
300万,金穗公寓  , 4室2厅 , 118.46平米 , 南 , 简装,,  三墩,17人关注 , 共0次带看 , 5个月以前发布
316万,翠苑五区  , 2室1厅 , 76.55平米 , 南 北 , 简装 ,,  翠苑,24人关注 , 共10次带看 , 5个月以前发布
348万,曙光新村  , 2室1厅 , 46.77平米 , 南 , 简装 ,,  黄龙,4人关注 , 共6次带看 , 4个月以前发布
340万,赞成岭上花苑  , 3室2厅 , 126.74平米 , 南 , 毛坯 ,,  转塘,7人关注 , 共3次带看 , 4个月以前发布
269万,润达花园  , 3室1厅 , 90.57平米 , 南 北 , 简装 ,,  三墩,8人关注 , 共3次带看 , 4个月以前发布
640万,耀江文鼎苑  , 2室1厅 , 87.67平米 , 南 北 , 精装 ,,  申花,12人关注 , 共5次带看 , 3个月以前发布
550万,庆丰新村  , 4室1厅 , 110.55平米 , 南 北 , 简装 ,,  黄龙,7人关注 , 共2次带看 , 3个月以前发布
915万,耀江文鼎苑  , 3室2厅 , 134.44平米 , 南 , 精装 ,,  申花,11人关注 , 共4次带看 , 3个月以前发布
535万,求是村  , 3室1厅 , 74.12平米 , 南 , 其他 ,,  黄龙,5人关注 , 共10次带看 , 2个月以前发布
300万,翠苑二区北区  , 3室1厅 , 75.52平米 , 南 北 , 简装 ,,  翠苑,11人关注 , 共1次带看 , 2个月以前发布
365万,浪漫和山  , 3室2厅 , 151.11平米 , 南 北 , 其他 ,,  小和山,2人关注 , 共1次带看 , 2个月以前发布
330万,钱潮花园  , 3室1厅 , 117.7平米 , 西 , 其他,,  西溪,5人关注 , 共2次带看 , 2个月以前发布
530万,求是村  , 3室1厅 , 74.09平米 , 南 , 其他 ,,  黄龙,6人关注 , 共0次带看 , 1个月以前发布
596万,嘉南公寓小高层  , 3室2厅 , 118.38平米 , 南 , 其他 ,,  文一西路,5人关注 , 共0次带看 , 1个月以前发布
295万,浪漫和山  , 3室1厅 , 142.5平米 , 南 北 , 其他 ,,  小和山,4人关注 , 共1次带看 , 1个月以前发布
1160万,金都城市芯宇  , 3室3厅 , 201.56平米 , 南 , 精装 ,,  文教,1人关注 , 共0次带看 , 1个月以前发布
325万,康乐香港城  , 3室2厅 , 81.27平米 , 南 , 简装 ,,  文三西路,2人关注 , 共0次带看 , 1个月以前发布
1190万,马塍路24号  , 3室2厅 , 164.51平米 , 南 北 , 其他 ,,  学军,2人关注 , 共0次带看 , 1个月以前发布
950万,西溪蝶园二期  , 3室2厅 , 170.53平米 , 东 , 精装 ,,  西溪,5人关注 , 共0次带看 , 31天以前发布
700万,世纪新城东区  , 3室1厅 , 138.11平米 , 南 , 其他 ,,  嘉绿,2人关注 , 共0次带看 , 29天以前发布
758万,南都银座公寓  , 4室2厅 , 184.87平米 , 南 北 , 简装 ,,  嘉绿,0人关注 , 共0次带看 , 29天以前发布
1840万,银桂花园   , 联排别墅 , 4室2厅 , 230.78平米 , 南 西 北 , 无电梯,  文三西路,5人关注 , 共2次带看 , 28天以前发布
240万,都市阳光嘉苑  , 3室2厅 , 83平米 , 南 , 毛坯 ,,  良渚,9人关注 , 共4次带看 , 26天以前发布
530万,外东山弄  , 3室1厅 , 74.76平米 , 南 北 , 其他 ,,  黄龙,0人关注 , 共0次带看 , 25天以前发布
650万,青芝坞  , 4室1厅 , 59.19平米 , 南 , 精装 ,,  黄龙,13人关注 , 共2次带看 , 22天以前发布
330万,桃园新村  , 2室1厅 , 49.74平米 , 南 北 , 其他 ,,  黄龙,4人关注 , 共3次带看 , 17天以前发布
490万,毛家桥公寓  , 2室2厅 , 93.84平米 , 南 , 毛坯 ,,  嘉绿,17人关注 , 共9次带看 , 一年前发布
350万,科技新村  , 2室1厅 , 73.73平米 , 南 , 简装 ,,  文三西路,22人关注 , 共0次带看 , 11个月以前发布
800万,融创河滨之城  , 4室2厅 , 138.47平米 , 南 , 毛坯,,  西溪,13人关注 , 共7次带看 , 9个月以前发布
236万,翠苑三区  , 2室1厅 , 50.63平米 , 南 北 , 精装 ,,  翠苑,14人关注 , 共0次带看 , 7个月以前发布
630万,城市心境  , 3室2厅 , 139.15平米 , 南 , 简装 ,,  文三西路,17人关注 , 共15次带看 , 7个月以前发布
280万,东日晴好  , 3室1厅 , 89.95平米 , 南 , 简装 ,,  转塘,21人关注 , 共9次带看 , 7个月以前发布
342万,康乐新村  , 2室2厅 , 91.21平米 , 南 北 , 简装 ,,  文三西路,5人关注 , 共0次带看 , 6个月以前发布
280万,教工路65号院  , 2室1厅 , 66.62平米 , 南 , 简装 ,,  九莲,15人关注 , 共0次带看 , 6个月以前发布
470万,融创河滨之城  , 3室2厅 , 89平米 , 南 , 简装,,  西溪,45人关注 , 共10次带看 , 6个月以前发布
310万,坤和和家园  , 2室1厅 , 78平米 , 南 北 , 精装 ,,  西溪,65人关注 , 共0次带看 , 6个月以前发布
380万,复地黄龙和山  , 3室2厅 , 88.98平米 , 南 北 , 毛坯 ,,  西溪,53人关注 , 共7次带看 , 5个月以前发布
185万,金街美地  , 3室1厅 , 71.57平米 , 南 , 其他 ,,  转塘,3人关注 , 共5次带看 , 3个月以前发布
500万,西荡苑杏苑  , 3室2厅 , 114.56平米 , 南 北 , 精装 ,,  文三西路,1人关注 , 共1次带看 , 3个月以前发布
330万,中旅紫金名门  , 3室1厅 , 89平米 , 南 , 其他,,  申花,26人关注 , 共12次带看 , 3个月以前发布
595万,金都城市芯宇  , 2室2厅 , 92.42平米 , 南 , 精装 ,,  文教,5人关注 , 共0次带看 , 3个月以前发布
335万,中海金溪园  , 3室1厅 , 89平米 , 南 , 简装 ,,  三墩,19人关注 , 共18次带看 , 2个月以前发布
450万,求是村  , 2室2厅 , 62.79平米 , 南 北 , 简装 ,,  黄龙,0人关注 , 共0次带看 , 1个月以前发布
600万,中兴文都苑  , 3室2厅 , 125平米 , 南 , 简装 ,,  古荡,10人关注 , 共2次带看 , 8个月以前发布
1380万,金都城市芯宇  , 4室2厅 , 179.93平米 , 南 , 精装 ,,  文教,0人关注 , 共0次带看 , 一年前发布
260万,城北商贸园  , 2室2厅 , 87.39平米 , 南 , 简装 ,,  申花,81人关注 , 共1次带看 , 一年前发布
730万,星洲花园格兰馨芦  , 3室2厅 , 144平米 , 南 , 简装 ,,  文一西路,15人关注 , 共1次带看 , 11个月以前发布
470万,中海定山府  , 4室1厅 , 163平米 , 南 , 简装 ,,  转塘,19人关注 , 共1次带看 , 10个月以前发布
670万,金都新城  , 3室2厅 , 176平米 , 南 , 简装 ,,  文三西路,9人关注 , 共0次带看 , 8个月以前发布
398万,金厦公寓  , 4室2厅 , 128.42平米 , 南 北 , 精装 ,,  三墩,3人关注 , 共0次带看 , 6个月以前发布
350万,金地自在城  , 3室2厅 , 89平米 , 南 , 精装 ,,  三墩,43人关注 , 共2次带看 , 6个月以前发布
688万,广宇西城年华  , 4室2厅 , 130平米 , 南 北 , 精装 ,,  申花,5人关注 , 共3次带看 , 6个月以前发布
650万,朗郡庭园  , 5室2厅 , 206.97平米 , 南 , 毛坯 ,,  转塘,5人关注 , 共0次带看 , 4个月以前发布
610万,坤和西溪里璞园  , 3室2厅 , 137.7平米 , 南 北 , 精装 ,,  西溪,10人关注 , 共4次带看 , 4个月以前发布
365万,窑背巷6号  , 3室1厅 , 65.19平米 , 南 , 其他 ,,  文三,13人关注 , 共1次带看 , 4个月以前发布
1100万,万科西庐  , 4室2厅 , 175平米 , 南 北 , 精装 ,,  西溪,32人关注 , 共8次带看 , 4个月以前发布
458万,华门世家  , 3室2厅 , 107.24平米 , 南 , 简装 ,,  九莲,8人关注 , 共0次带看 , 4个月以前发布
878万,坤和和家园  , 4室2厅 , 209平米 , 南 北 , 精装 ,,  西溪,9人关注 , 共1次带看 , 3个月以前发布
500万,云溪香山  , 4室2厅 , 164平米 , 南 北 , 毛坯 ,,  转塘,2人关注 , 共0次带看 , 3个月以前发布
520万,金色蓝庭  , 3室2厅 , 87.55平米 , 南 北 , 精装 ,,  嘉绿,30人关注 , 共4次带看 , 3个月以前发布
500万,云溪香山  , 4室2厅 , 163.28平米 , 南 , 毛坯 ,,  转塘,6人关注 , 共0次带看 , 1个月以前发布
2000万,滨江西溪明珠   , 联排别墅 , 9室5厅 , 322.08平米 , 南 ,,  西溪,4人关注 , 共0次带看 , 1个月以前发布
210万,西荡苑梨苑  , 2室1厅 , 43.6平米 , 南 , 简装 ,,  文三西路,15人关注 , 共7次带看 , 3个月以前发布
215万,翠苑一区  , 2室1厅 , 47.87平米 , 南 北 , 简装 ,,  翠苑,1人关注 , 共0次带看 , 1个月以前发布
310万,金田花园  , 2室1厅 , 80.27平米 , 南 , 精装 ,,  文三西路,12人关注 , 共0次带看 , 1个月以前发布
301万,信鸿花园北区  , 3室2厅 , 113.95平米 , 南 , 简装 ,,  三墩,13人关注 , 共0次带看 , 10个月以前发布
255万,华远大厦  , 2室1厅 , 72.14平米 , 南 , 简装 ,,  古荡,72人关注 , 共0次带看 , 6个月以前发布
1280万,中大文锦苑  , 4室2厅 , 168.19平米 , 南 , 简装 ,,  学军,6人关注 , 共0次带看 , 3个月以前发布
250万,金厦公寓  , 2室2厅 , 84.49平米 , 南 北 , 精装 ,,  三墩,15人关注 , 共6次带看 , 2个月以前发布
245万,古荡新村东区  , 2室1厅 , 61.67平米 , 南 , 简装 ,,  古荡,10人关注 , 共7次带看 , 1个月以前发布
468万,嘉绿名苑  , 2室2厅 , 98.31平米 , 南 , 毛坯 ,,  嘉绿,69人关注 , 共7次带看 , 10个月以前发布
270万,翠苑五区  , 2室1厅 , 58.62平米 , 南 北 , 精装 ,,  翠苑,52人关注 , 共13次带看 , 6个月以前发布
245万,金都花园  , 2室2厅 , 66.7平米 , 南 , 简装 ,,  文三西路,26人关注 , 共0次带看 , 9个月以前发布
408万,玉古路167.171号  , 2室1厅 , 63平米 , 南 , 简装 ,,  黄龙,0人关注 , 共0次带看 , 7个月以前发布
252万,金田花园  , 2室1厅 , 64.35平米 , 南 , 简装 ,,  文三西路,41人关注 , 共20次带看 , 5个月以前发布
200万,翠苑三区  , 1室1厅 , 41.13平米 , 南 , 精装 ,,  翠苑,10人关注 , 共0次带看 , 5个月以前发布
480万,广宇西城美墅  , 2室2厅 , 84.91平米 , 南 , 精装 ,,  申花,3人关注 , 共1次带看 , 5个月以前发布
290万,金海公寓  , 2室2厅 , 70.17平米 , 南 , 简装 ,,  文三西路,2人关注 , 共0次带看 , 4个月以前发布
300万,黄龙雅苑  , 1室2厅 , 54.5平米 , 西北 , 精装 ,,  黄龙,16人关注 , 共0次带看 , 4个月以前发布
415万,建工新村  , 2室1厅 , 57.76平米 , 南 , 简装 ,,  学军,2人关注 , 共0次带看 , 4个月以前发布
305万,曙光路小区  , 2室1厅 , 49.15平米 , 南 北 , 简装,,  黄龙,14人关注 , 共0次带看 , 4个月以前发布
480万,金色蓝庭  , 3室2厅 , 88.58平米 , 南 , 简装 ,,  嘉绿,15人关注 , 共20次带看 , 4个月以前发布
270万,天虹公寓  , 2室2厅 , 90.59平米 , 南 , 毛坯 ,,  申花,56人关注 , 共16次带看 , 3个月以前发布
288万,曙光路三弄  , 2室1厅 , 45.92平米 , 南 , 简装 ,,  黄龙,11人关注 , 共1次带看 , 2个月以前发布
190万,浙江油田留下小区  , 2室1厅 , 57.5平米 , 南 北 , 简装,,  西溪,8人关注 , 共0次带看 , 2个月以前发布
320万,物华小区  , 2室1厅 , 64平米 , 南 , 简装 ,,  嘉绿,1人关注 , 共0次带看 , 2个月以前发布
265万,紫金公寓  , 2室1厅 , 59.67平米 , 南 , 其他 ,,  文三西路,7人关注 , 共19次带看 , 2个月以前发布
